The regulation you provided is **partially incomplete**, as it ends abruptly at the definition of "emergency brake" and does not include the full definition or the rest of the regulation. Additionally, several definitions have been **repealed** (i.e., officially canceled or replaced), as indicated by the note "[Repealed, SOR/xxxx-xxx, s. 1]" at the end of many entries.

Below is a **detailed, accurate, and comprehensive summary** of the **remaining, non-repealed definitions** in the regulation, interpreted in context and organized for clarity. This summary reflects only the **active, current definitions** that are still in force and relevant to the regulation, as of the date of the repeal notices cited (with the most recent being SOR/2020-22).

---

## 🔍 Detailed Summary of Active Definitions in the Regulation

> **Note**: This summary is based on the *current active definitions* from the regulation, excluding all definitions marked "[Repealed]" — these have been removed from the current legal text. The regulation appears to be part of **Canada’s Motor Vehicle Safety Regulations** (specifically under the *Motor Vehicle Safety Act*), and the definitions are used to establish precise meanings for terms used in safety standards, testing, and compliance.

---

### 🚗 Core Definitions of Key Terms

| Term | Definition & Context |
| **Brake power assist unit** | A device in a hydraulic brake system that reduces the driver’s muscular effort required to stop the vehicle. Must allow full braking capability even if the assist fails. |
| **Brake power unit** | A device that provides the energy to actuate brakes, either directly or via auxiliary systems. The driver only modulates the force level. |
| **Braking interval** | The distance between the start of one brake application and the start of the next. Used in evaluating braking performance and response. |
| **Buckle** | A quick-release connector that secures a person in a seat belt or built-in restraint system. Must be easy to use and reliable. |
| **Built-in booster seat** | An integral part of a vehicle seat designed to support a person with a mass of at least 18 kg. Ensures proper fit and safety for children or adults with limited mobility. |
| **Built-in restraint system** | An integral part of a vehicle seat designed to restrain only persons with a mass between 10 kg and 41 kg. Used for children or small adults. |
| **Bus** | A vehicle with a seating capacity of more than 10 passengers (excluding trailers or restricted-use vehicles). |
| **Bus trailer** | A trailer designed to be drawn behind another vehicle and with a seating capacity of more than 10. Used for transport of passengers or cargo. |
| **C-dolly** | A self-steering trailer converter dolly with a single axle. Once coupled, it cannot pivot horizontally — used for secure towing of trailers. |
| **Cable reel trailer** | A trailer designed exclusively to carry a drum or reel of cable. Not for general cargo. |
| **Cargo-carrying capacity** | The maximum mass a vehicle can carry, calculated as:  
**Gross Vehicle Weight Rating – (unloaded mass + (seating capacity × 54 kg for school buses or 68 kg otherwise) + mass of fresh/hot water and propane tanks)**  
Excludes waste water tanks. |
| **Chassis-cab** | An incomplete vehicle (not a trailer) with a completed passenger compartment. Requires only the addition of a cargo surface or load-bearing component to function. |
| **Check digit** | A single digit or "X" used to verify the accuracy of the Vehicle Identification Number (VIN). Prevents transcription errors. |
| **Child** | A person with a mass between 10 kg and 30 kg. Used in defining child restraint systems and safety requirements. |
| **Compliance label** | A label required on a completed vehicle under section 6 or 6.6. Must indicate that the vehicle meets Canadian safety standards. |
| **Compressed natural gas (CNG)** | Natural gas (mostly methane) compressed to 20,680 kPa (3,000 psi). Used as an alternative fuel in some vehicles. |
| **Control** | Any part of a device that allows the driver to change the state or function of a vehicle or component (e.g., accelerator, brake, steering). |
| **Convertible** | A vehicle where the upper portion of the windshield (A-pillar) is not rigidly connected to the rear support (B-pillar). Allows for a retractable roof. |
| **CSA** | The Canadian Standards Association. Standards developed by CSA are used in vehicle safety, performance, and design. |
| **Curb mass** | The total mass of a vehicle with standard equipment, full fuel, oil, coolant, and air conditioning. Includes the weight difference between optional and standard engines. |
| **Curb weight** | The weight of a vehicle
