Certainly. Below is a **detailed, comprehensive summary** of the *Trust and Loan Companies Act*, based on the text you provided. This summary covers the key elements of the Act, including definitions, structural provisions, and the scope of regulatory application.

---

## 📚 **Detailed Summary of the Trust and Loan Companies Act**

### 🔹 **1. Purpose and Citation**
- The Act is enacted by Her Majesty, with the advice and consent of the Senate and House of Commons of Canada.
- It is officially cited as the **Trust and Loan Companies Act**.
- The primary purpose of the Act is to **regulate trust companies and loan companies** in Canada, ensuring accountability, transparency, and protection of shareholders, creditors, and consumers in financial dealings.

---

### 🔹 **2. Key Definitions (Glossary of Terms)**

This Act establishes a comprehensive and precise legal framework through detailed definitions that form the foundation of its regulatory regime. These definitions clarify key concepts used throughout the legislation:

| Term | Meaning |
| **Incorporated** | Applies to entities incorporated under federal or provincial Acts — includes continuations. |
| **Incorporating Instrument** | The original or amended charter (e.g., letters patent, bylaws, restatements). |
| **Incorporator** | The person who applied for incorporation of a company. |
| **Insurance Holding Company** | A body corporate incorporated under **Part XVII of the Insurance Companies Act**. |
| **Issuer** | The entity that issues or issued a security. |
| **Letters Patent** | Authorized forms of instruments under this Act, approved by the Superintendent. |
| **Minister** | Refers to the **Minister of Finance** — key policy and regulatory authority. |
| **Minor** | Same as in provincial law or the **UN Convention on the Rights of the Child** (if no provincial law exists). |
| **Non-WTO Member Foreign Institution** | A foreign institution not controlled by a WTO Member resident. |
| **Officer** | Includes CEO, president, secretary, treasurer, and others designated by bylaws or resolution. |
| **Order Form** | A security in order form, as determined under **subsection 86(3)**. |
| **Ordinary Resolution** | Passed by a majority of votes cast by shareholders. |
| **Person** | Natural person, entity, or personal representative. |
| **Personal Representative** | Includes trustees, executors, administrators, guardians, tutors, curators, receivers, agents, attorneys. |
| **Prescribed** | Means prescribed by **regulation** — flexible and rule-based. |
| **Property (for trust companies)** | Includes property held in respect of guaranteed trust money. |
| **Proxy** | A completed and executed form appointing a proxyholder to act at shareholder meetings. |
| **Proxyholder** | The person appointed to represent a shareholder at meetings. |
| **Real Property** | Includes leasehold interests — broadens to cover rental rights. |
| **Recorded Address** | The latest postal address according to the CSR (for shareholders) or branch records (for others). |
| **Registered Form** | A security in registered form as per **subsection 86(4)**. |
| **Regulated Foreign Entity** | An entity incorporated outside Canada in a country with a trade agreement under **Schedule IV of the Bank Act**, and subject to financial regulation there. |
| **Regulatory Capital** | Defined by **regulations** — required capital to support financial stability. |
| **Resident Canadian** | Includes: Canadian citizens resident in Canada; non-resident citizens in prescribed classes; permanent residents who are ordinarily resident in Canada (except those who have lived in Canada >1 year after becoming eligible for citizenship). |
| **Residential Property** | Real property used or intended for at least half of its floor space as private dwellings. |
| **Securities Underwriter** | A person who agrees to buy securities for distribution, or sells them in connection with a distribution — includes those receiving commissions. |
| **Security** | For a body corporate: shares or debt obligations; includes warrants. Excludes deposits with financial institutions. For other entities: ownership interests or debt obligations. |
| **Security Interest** | A charge on property (e.g., mortgage, lien, pledge) to secure payment of
